CaseID,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
105,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,4,6,4,2,6,4,6,27.801,15.547,2,2,2,4,5,5,6,6,,,,,1,1,0,2,4,5,In the short term (this month),0,An American military base,Iran,A reward of $3400 this month,0,200,800,Male,0,20,Black/African American,1,4,Well Informed,3,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S2
106,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,4,5,5,7,117.941,31.16,1,4,4,4,,,,,,,,,1,1,0,2,6,7,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,200,800,Male,0,39,White/Caucasian,4,4,Not Well Informed,1,Masters degree or higher,5,"More than $100,000",5,t_AllSet|S2
107,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,7,7,3,3,3,69.139,12.606,1,7,6,5,4,,,,,,,,1,1,0,2,5,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,150,1000,Male,0,24,White/Caucasian,4,3,Well Informed,3,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
108,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,6,6,6,4,5,6,7,483.378,106.974,1,7,6,5,,,,,,,,,1,1,0,2,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Female,1,60,Asian,3,4,Not Well Informed,1,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S2
109,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,6,5,5,1,1,1,54.335,12.614,1,7,6,5,5,,,,,,,,1,1,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Male,0,24,Hispanic/Latino,2,1,Well Informed,3,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
110,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,7,7,7,6,6,6,6,366.616,205.634,1,6,5,6,5,6,6,,,,,,1,1,0,2,7,7,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,200,1000,Female,1,31,Black/African American,1,7,Somewhat Informed,2,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S2
111,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,5,4,4,3,3,3,54.448,15.098,1,6,6,5,5,,,,,,,,1,1,0,2,2,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,500,1000,Female,1,31,White/Caucasian,4,2,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
112,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,6,5,5,5,6,130.265,64.633,1,6,5,2,,,,,,,,,1,1,0,2,6,6,In the long run (next year),1,An American embassy building,Afghanistan,A reward of $3800 next month,1,500,1000,Female,1,23,White/Caucasian,4,3,Somewhat Informed,2,High school,2,"$50,001 - $75,000",3,t_AllSet|S2
113,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,7,7,7,7,7,46.05,9.064,1,7,7,6,5,,,,,,,,1,1,0,2,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,300,1500,Male,0,27,White/Caucasian,4,7,Somewhat Informed,2,High school,2,"Less than $25,000",1,t_AllSet|S2
114,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,6,5,5,7,7,140.322,23.532,1,7,6,5,4,,,,,,,,1,1,0,2,7,6,In the short term (this month),0,An American military base,Iran,A reward of $3800 next month,1,500,2500,Female,1,24,Hispanic/Latino,2,1,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
115,1,0,0,t_AllSet|S2,Reject,0,Reject,0,Reject,0,Reject,0,Accept,1,Accept,1,Accept,1,4,4,4,4,5,5,5,52.948,27.342,7,,,,,3,3,4,,,,,1,1,0,2,4,4,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,400,4000,Female,1,49,Hispanic/Latino,2,5,Somewhat Informed,2,Masters degree or higher,5,"More than $100,000",5,t_AllSet|S2
116,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,4,4,4,5,91.667,13.05,1,7,7,7,,,,,,,,,1,1,0,2,7,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,1000,4000,Female,1,29,White/Caucasian,4,1,Not Well Informed,1,Masters degree or higher,5,"$75,001 - $100,000",4,t_AllSet|S2
117,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,6,5,5,6,6,7,59.361,13.433,1,7,6,6,6,,,,,,,,1,1,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,1000,5000,Female,1,27,White/Caucasian,4,2,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
118,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,6,5,4,2,6,6,6,57.665,17.811,1,6,6,4,,,,,,,,,1,1,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,200,10000,Female,1,31,White/Caucasian,4,1,Well Informed,3,Masters degree or higher,5,"$25,000 - $50,000",2,t_AllSet|S2
119,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,6,4,3,3,5,6,75.228,23.186,1,7,6,3,2,,,,,,,,1,1,0,2,6,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,200,10000,Male,0,34,Hispanic/Latino,2,5,Not Well Informed,1,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S2
120,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,6,5,5,4,3,2,132.388,28.13,1,6,5,4,4,,,,,,,,1,1,0,2,4,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,300,10000,Female,1,31,Black/African American,1,3,Somewhat Informed,2,Some college,3,"$25,000 - $50,000",2,t_AllSet|S2
121,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,5,4,1,1,1,168.406,44.57,1,7,6,5,4,,,,,,,,1,1,0,2,7,7,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,500,10000,Female,1,61,White/Caucasian,4,7,Well Informed,3,Some college,3,"$25,000 - $50,000",2,t_AllSet|S2
122,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,7,7,5,4,7,7,82.118,20.436,1,7,7,4,,,,,,,,,1,1,0,2,7,4,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,500,10000,Female,1,38,Black/African American,1,4,Somewhat Informed,2,High school,2,"$50,001 - $75,000",3,t_AllSet|S2
123,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,7,6,3,2,2,2,202.554,44.705,1,7,6,6,,,,,,,,,1,1,0,2,5,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,500,10000,Female,1,49,White/Caucasian,4,5,Well Informed,3,High school,2,"More than $100,000",5,t_AllSet|S2
124,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,6,5,5,4,4,4,73.673,22.13,1,7,7,7,5,,,,,,,,1,1,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,600,10000,Female,1,46,White/Caucasian,4,6,Not Well Informed,1,Bachelor's degree,4,"Less than $25,000",1,t_AllSet|S2
125,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,5,4,1,1,1,102.551,31.264,1,6,6,5,4,,,,,,,,1,1,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,1000,10000,Male,0,53,White/Caucasian,4,4,Well Informed,3,Some college,3,"$25,000 - $50,000",2,t_AllSet|S2
126,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,2,2,2,2,2,2,2,102.226,29.514,1,7,7,3,3,,,,,,,,1,1,0,2,6,5,In the short term (this month),0,An American military base,Iran,A reward of $3800 next month,1,1000,10000,Female,1,26,White/Caucasian,4,4,Not Well Informed,1,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
127,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,6,6,6,6,6,93.337,26.455,1,7,6,5,,,,,,,,,1,1,0,2,6,7,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,500,20000,Male,0,43,White/Caucasian,4,7,Well Informed,3,Bachelor's degree,4,"$75,001 - $100,000",4,t_AllSet|S2
128,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,5,5,5,6,5,5,6,24.791,6.726,1,7,6,3,,,,,,,,,1,1,0,2,5,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,1000,20000,Female,1,29,Asian,3,4,Somewhat Informed,2,High school,2,"$50,001 - $75,000",3,t_AllSet|S2
