CaseID,Duration,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
301,274,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,6,5,5,7,7,5,5,33.283,48.672,2,6,5,5,,,,,2,6,5,6,1,1,1,1,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,1000,10000,Male,0,36,White/Caucasian,4,1,Very Informed,4,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S3
302,162,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,4,4,3,4,1,1,1,24.486,13.14,2,3,5,4,5,,,,1,5,4,4,0,1,1,1,3,5,In the short term (this month),0,An American embassy building,Afghanistan,A reward of $3800 next month,1,300,500,Male,0,27,White/Caucasian,4,2,Somewhat Informed,2,Some college,3,"$25,000 - $50,000",2,t_AllSet|S3
303,212,0,1,2,t_AllSet|S3,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,4,2,4,2,5,5,3,21.957,15.882,4,,4,,3,,5,,1,4,3,5,0,1,1,1,4,3,In the short term (this month),0,An American military base,Iran,A reward of $3400 this month,0,1000,10000,Female,1,50,White/Caucasian,4,4,Somewhat Informed,2,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
304,357,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,3,7,2,1,1,4,3,27.386,23.735,1,3,2,,,2,,2,1,4,3,7,0,0,0,1,2,7,In the short term (this month),0,An American military base,Iran,A reward of $3800 next month,1,300,300,Male,0,25,White/Caucasian,4,3,Somewhat Informed,2,High school,2,"$25,000 - $50,000",2,t_AllSet|S3
305,545,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,6,5,6,6,5,7,5,76.248,73.53,4,5,6,5,6,5,7,6,1,6,5,6,1,2,1,2,6,5,In the short term (this month),0,An American embassy building,Afghanistan,A reward of $3400 this month,0,5500,100000,Male,0,30,Black/African American,1,7,Well Informed,3,Masters degree or higher,5,"$50,001 - $75,000",3,t_AllSet|S3
306,554,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,7,7,7,7,7,7,7,137.149,80.764,1,7,,,,,,,3,7,7,7,0,2,0,2,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,150,1000,Male,0,32,White/Caucasian,4,6,Not Well Informed,1,Some college,3,"$25,000 - $50,000",2,t_AllSet|S3
307,380,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,5,5,4,3,3,2,124.038,43.004,1,7,5,4,,,,,1,7,6,5,0,0,0,2,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,140,400,Female,1,54,White/Caucasian,4,4,Somewhat Informed,2,Masters degree or higher,5,"$25,000 - $50,000",2,t_AllSet|S3
308,324,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,4,5,7,6,7,111.713,33.988,1,7,5,4,,,,,1,7,6,4,0,0,0,2,7,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,500,Male,0,46,White/Caucasian,4,1,Not Well Informed,1,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S3
309,217,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,5,1,1,4,1,4,1,71.86,41.561,1,5,,,4,,4,,3,4,4,7,0,0,0,2,7,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,200,800,Male,0,24,White/Caucasian,4,4,Somewhat Informed,2,Bachelor's degree,4,"Less than $25,000",1,t_AllSet|S3
310,582,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,6,5,4,6,6,6,79.045,37.611,1,7,5,4,4,,,,1,7,6,4,0,0,0,2,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,150,1000,Male,0,49,White/Caucasian,4,4,Well Informed,3,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S3
